person_id	sex	first_name	last_name	year_of_birth	year_of_death	living_region	societal_rank	societal_rank_of_father	religion	level_of_education	letters_sent	letters_received
DRFRANCIS	Male		Francis			London	Professional				0	1
DSAVILE	Female	Dorothy	Savile	1699	1758	London	Nobility	Nobility			0	1
DSMYTHE	Female	DOROTHY	SPENCER/SMYTHE	1617	1684	Court	Nobility	Nobility			2	0
DTHYNNE	Female	Dorothy, the elder	Thynne		1616		Gentry (upper)	Gentry (upper)			0	1
DWILLOUGHBY	Female	Dorothy	Willoughby				Gentry (lower)	Gentry (upper)			0	1
E1CARY	Female	Elizabeth	Cary née Tanfield	1585	1639	London	Nobility	Gentry (upper)	Catholic	Higher	15	1
E1CONWAY	Male	Edward	Conway	1564	1631	Court	Nobility	Gentry (upper)	Protestant		0	10
E1PASTON	Male	EDMOND I	PASTON	1425	1449	London	Gentry (lower)	Gentry (lower)		Higher	1	1
E2CARY	Female	Elizabeth 2	Cary	1617	1682	Abroad	Clergy (lower)	Nobility	Catholic		1	0
E2CROMWELL	Female	Elizabeth	Cromwell née Williams née Wykys		1527		Nobility				0	1
E2HARLEY	Male	Edward	Harley	1689	1741	Other	Nobility	Nobility		Higher	10	16
E2HATTON	Female	Elizabeth	Hatton née Scroggs (earlier Mrs Gilby)	1644	1724		Gentry (lower)	Gentry (upper)			4	1
E2HOWARD	Female	Elizabeth	Howard née Stuart	1610	1674		Nobility	Nobility			0	1
E2MONTAGU	Female	Elizabeth	Montagu née Robinson	1720	1800	London	Gentry (lower)	Gentry (lower)		Private	1	10
E2PASTON	Male	EDMOND II	PASTON		1504	London	Gentry (lower)	Gentry (lower)		Higher	6	4
E2PHELIPS	Male	Edward 2	Phelips				Gentry (lower)	Gentry (upper)			0	1
E2SEYMOUR	Male	Edward	Seymour	1563	1613	Other	Gentry (upper)	Gentry (upper)			0	1
EALLEYN	Male	Edward	Alleyn	1566	1626	London	Other	Other			3	22
EANTROBUS	Female	Elizabeth	Antrobus	1710	1773	Other	Other	Merchant			0	1
EASHMOLE	Male	Elias	Ashmole	1617	1692	London	Gentry (lower)	Other		Higher	0	3
EBACON	Male	Edmund	Bacon	1570	1649	East Anglia	Gentry (upper)	Gentry (upper)		Higher	5	2
EBANYARD	Male	EDMUND	BANYARD			East Anglia	Gentry (lower)	Gentry (lower)			4	0
EBARTON	Female	Elizabeth	Barton	1506	1534	Home counties	Clergy (lower)		Catholic		0	1
EBAYLIS	Male	Edward	Baylis			Other	Other				0	1
EBETTS	Female	Elizabeth	Betts				Gentry (lower)				1	0
EBISHOP	Female	Elizabeth (Eliza)	Bishop née Wollstonecraft	1763		London	Professional	Gentry (lower)			0	10
EBONNER	Male	EDMUND	BONNER	1500	1569	London	Clergy (upper)	Other	Catholic	Higher	1	6
EBOURNE	Female	Elizabeth	Bourne	1601		Other					0	5
EBRATHWAITE	Female	Eleanor	Brathwaite				Other				2	0
EBREWS	Female	ELIZABETH	BREWS			East Anglia	Gentry (upper)	Gentry (lower)			5	0
EBROWNE	Male	Edward	Browne	1644	1708	London				Higher	0	34
EBURNEY	Female	Elizabeth	Burney née Allen	1728	1796	London	Professional	Gentry (lower)			0	2
EBUTLER	Female	Elizabeth	Butler	1688	1750	London	Nobility	Nobility			1	0
ECAPEL	Female	Elizabeth	Capel née Percy				Nobility	Nobility			0	1
ECARTER	Female	Elizabeth	Carter	1717	1806	Home counties	Clergy (lower)	Clergy (lower)		Private	60	0
ECARTWRIGHT	Female	Elizabeth	Cartwright	1737	1811	Other	Professional				0	5
ECAVE	Male	Edward	Cave	1691	1754	London	Professional	Professional		Apprenticed	0	11
ECAVENDISH	Female	Elizabeth	Cavendish née Cecil				Nobility	Nobility			0	2
ECLERE	Female	ELIZABETH	CLERE		1493	East Anglia	Gentry (lower)	Gentry (upper)			4	0
ECLIFT	Female	Elizabeth	Clift	1757	1818	Other	Other	Other			12	33
ECOKE	Male	Edward	Coke	1552	1634	London	Gentry (upper)	Professional		Higher	4	2
ECONWAJR	Male	EDWARD	CONWAY	1623	1683	Other	Nobility	Nobility			20	28
ECONWASR	Male	EDWARD	CONWAY	1602	1655	Other	Nobility	Nobility			7	3
ECORNWALLIS	Female	Elizabeth	Cornwallis née Ashburnham		1644	East Anglia	Nobility	Gentry (upper)			9	0
ECOTTINGTON	Female	Eliza	Cottington née Thimelby				Gentry (lower)	Gentry (upper)			4	2
ECROMWELL	Female	Elizabeth	Cromwell née Bourchier	1598	1665	Other	Gentry (lower)	Gentry (upper)			0	1
EDALLISON	Female	ELIZABETH	DALLISON N. OXINDEN	1610	1665	Other	Gentry (lower)	Gentry (upper)	Anglican		2	8
EDARWIN	Male	Erasmus	Darwin	1731	1802	Other	Professional	Professional		Higher	41	3
EDAVIS	Male	Edward	Davis			Other					0	1
EDCLERE	Male	EDWARD	CLERE	1536	1606	East Anglia	Gentry (upper)				6	0
EDCLIFFORD	Male	EDWARD	CLIFFORD		1538	Other	Gentry (lower)				1	0
EDDELAPOLE	Male	Edmund	de la Pole	1472	1513	Court	Nobility	Nobility			2	1
EDELAPOLE	Female	ELIZABETH	DE LA POLE	1444	1503	East Anglia	Nobility	Nobility			1	0
EDERING	Male	Edward	Dering				Gentry (upper)				0	1
EDEVERE	Female	ELIZABETH	DE VERE	1410	1475	Other	Nobility	Nobility			3	0
EDIXWELL	Female	Elizabeth	Dixwell née Reade			Home counties	Gentry (upper)	Gentry (lower)			0	1
EDMONTAGU	Male	Edward	Montagu	1625	1672	Court	Nobility	Gentry (upper)			0	1
EDOYLY	Female	Elizabeth	Peryam née Neville née D'Oyly née Bacon	1541	1621	Home counties	Gentry (upper)	Gentry (upper)			16	1
EDPASTON	Male	Edward	Paston	1550	1630	East Anglia	Gentry (lower)	Gentry (upper)	Catholic		9	1
EDRAPER	Female	Elizabeth (Eliza)	Draper née Sclater	1744	1778	Abroad	Professional	Merchant			18	0
EDSTANHOPE	Male	Edward	Stanhope				Gentry (upper)				0	1
EDSTONOR	Male	Edmund	Stonor		1476	Other	Gentry (lower)	Gentry (lower)			3	0
EDTALBOT	Male	Edward	Talbot					Nobility			0	1
EDWARD4	Male	Edward IV	York	1442	1483	Court	Royalty	Nobility			3	0
EDWARD6	Male	Edward VI	Tudor	1537	1553	Court	Royalty	Royalty		Higher	2	3
EDWILMOT	Male	Edward	Wilmot		1617	Abroad	Merchant				1	0
EEWER	Male	Edward	Ewer			Other	Professional				0	2
EFAYREY	Female	ELIZABETH	FAYRAY (Fayrey)			Other	Merchant				1	4
EFELL	Male	Edward	Fell			Other	Other				0	1
EFENWICK	Female	ELIZABETH	FENWICK			North	Professional				2	1
EFIENNES	Male	EDWARD	FIENNES DE CLINTON	1512	1585	Court	Nobility	Nobility			4	0
EFINCH	Female	ELIZABETH	FINCH N. HARVEY				Nobility	Gentry (lower)			1	0
EFITTON	Male	EDWARD	FITTON			Other	Gentry (lower)				2	0
EFREKE	Male	EDMUND	FREAKE	1516	1591	Other	Clergy (upper)		Anglican	Higher	2	1
EGERMAIN	Female	Elizabeth	Germain née Berkeley	1680	1769	Home counties	Nobility	Nobility			27	1
EGIBBON	Male	Edward	Gibbon	1737	1794	London	Gentry (lower)	Gentry (lower)		Secondary	60	0
EGIBBONSR	Male	Edward Sr	Gibbon	1707	1770	Other	Gentry (lower)	Gentry (lower)		Higher	0	12
EGORGES	Male	Edward	Gorges				Nobility				0	1
EGREY	Male	Edmond	Grey	1420	1489		Nobility				0	1
EGRIFFIN	Male	Edward	Griffin				Other				0	1
EGRIMSTONE	Male	EDWARD	GRIMSTONE	1528	1599	Other	Professional	Gentry (lower)		Higher	2	0
EGRINDALL	Male	Edmund	Grindal	1519	1583	London	Clergy (upper)	Other	Anglican	Higher	8	0
EGRIST	Male	Elias	Grist			London	Merchant				5	0
EHADDOCK	Female	Elizabeth	Haddock	1650	1709		Gentry (upper)				0	7
EHAMILTON	Female	Elizabeth	Hamilton née Gerard	1682	1744		Nobility	Nobility			1	0
EHANOVER	Male	Edward	Hanover	1767	1820	Abroad	Royalty	Royalty		Higher	27	1
EHARLEY	Male	Edward	Harley	1624	1700	Other	Gentry (upper)	Gentry (upper)	Protestant	Higher	9	63
EHATTON	Female	ELIZABETH	HATTON N. MONTAGU		1672	Other	Nobility	Gentry (upper)			1	5
EHAYES	Male	EDWARD	HAYES				Professional				1	0
EHECTOR	Male	Edmund	Hector	1708	1794	Other	Professional				0	9
EHLEE	Male	Edward Henry	Lee				Nobility				0	1
EHOWARD	Female	ELIZABETH	HOWARD N. TILNEY			East Anglia	Nobility	Gentry (upper)			1	0
EHUGHES	Male	Ellis	Hughes								0	1
EHYDE	Male	Edward	Hyde	1609	1674	Court	Nobility	Gentry (lower)		Higher	0	4
EIC	Male		East India Company			London	Merchant				0	9
EICAGENT	Male		EIC Agent in Siam			Abroad	Merchant				0	1
EISHAM	Male	Euseby	Isham	1697	1755	Other	Clergy (lower)	Gentry (upper)		Higher	10	9
EJERNINGHAM	Male	Edward	Jerningham	1737	1812	London	Professional	Gentry (upper)		Higher	0	1
EJOHNSON	Female	Elizabeth	Johnson née Porter née Jervis	1689	1752	Other	Professional	Gentry (lower)			0	1
EJOHNSON2	Male	Edward	Johnson			Other	Professional				3	0
EKING	Male	Edmund	King	1629	1709	London	Gentry (upper)	Professional		Higher	8	0
EKNOYLE	Male	Edward	Knoyle								0	1
ELACY	Male	Edmund	Lacy	1370	1455	Other	Clergy (upper)			Higher	0	2
ELAMBERT	Female	ELIZABETH	LAMBERT N. PAULET			London	Gentry (lower)	Gentry (upper)			1	0
ELCLIFFORD	Female	ELEANOR	CLIFFORD N. BRANDON	1519	1547	North	Nobility	Nobility			1	0
ELCOKE	Female	Elizabeth	Coke née Hatton née Cecil				Gentry (upper)	Nobility			0	8
ELEE	Female	Elizabeth	Lee	1694	1740	Home counties	Nobility	Nobility			1	0
ELEICESTER	Female	Elizabeth	Leicester				Professional				0	4
ELGOWER	Female	Elizabeth Leveson	Gower	1765	1839	London	Nobility	Nobility			5	0
ELHANOVER	Female	Elizabeth	Hanover	1770	1840	Court	Royalty	Royalty			23	0
ELITTLETON	Male	Edward	Littleton	1727	1812	Other	Gentry (upper)	Gentry (lower)		Higher	0	14
ELIZABETH1	Female	Elizabeth I	Tudor	1533	1603	Court	Royalty	Royalty		Higher	33	6
ELMOWBRAY	Female	ELIZABETH	MOWBRAY		1507	East Anglia	Nobility				2	0
ELSTONOR	Female	Elizabeth	Stonor née Croke		1479	Other	Gentry (upper)	Merchant			11	6
ELTALBOT	Female	Elizabeth (Bess)	Talbot née Hardwick	1518	1608	Other	Nobility	Gentry (lower)			0	3
ELUDLOW	Male	Edmund	Ludlow	1617	1692	Other	Professional	Gentry (upper)	Protestant	Higher	0	4
ELWILLOUGHBY	Female	Elizabeth	Willoughby			Other					1	0
ELYTTELTON	Female	Elizabeth	Lyttelton née Browne	1648							0	4
EMACRO	Male	Edward	Macro	1719	1766	London	Gentry (lower)	Gentry (lower)		Higher	0	5
EMALONE	Male	Edmond	Malone	1741	1812	London	Gentry (lower)	Gentry (lower)		Higher	0	10
EMANSELL	Female	Elizabeth	Mansell née Wyndham née Bacon	1551			Gentry (lower)	Gentry (upper)			1	1
EMASHAM	Female	ELIZABETH	MASHAM			Other	Gentry (upper)	Gentry (upper)	Protestant		16	0
EMELBOURNE	Female	Elizabeth	Melbourne née Milbanke	1751	1818	London	Nobility	Gentry (upper)		Private	11	0
EMIHILL	Female	Eliza	Mihill				Other				0	1
EMONTAGU	Female	Elizabeth	Montagu				Nobility	Nobility			1	0
EMONTAGUJR	Male	Edward Wortley Jr	Montagu	1713	1776	Abroad	Gentry (lower)	Gentry (lower)		Higher	2	2
EMUNDFORD	Female	ELIZABETH	MUNDFORD			East Anglia	Gentry (lower)	Gentry (lower)			1	0
ENEPEAN	Male	Evan	Nepean	1752	1822	London	Gentry (upper)	Other			0	5
ENEWDIGATE	Female	Elizabeth	Newdigate née Twisden	1681	1765	Other	Gentry (upper)	Gentry (upper)			0	18
ENICHOLAS	Male	Edward	Nicholas	1593	1669	Court	Gentry (upper)	Professional		Higher	0	9
EOXINDEN	Female	ELIZABETH	OXINDEN/GREENSTREET	1638	1681	Other	Professional	Gentry (lower)			6	0
EPARR	Male	Elnathan	Parr	1577	1622	East Anglia	Clergy (lower)	Clergy (lower)	Anglican	Higher	1	8
EPERCY	Female	Elizabeth	Seymour née Percy	1667	1722	London	Nobility	Nobility			6	0
EPHELIPS	Male	Edward	Phelips	1555	1614	London	Gentry (upper)	Professional		Higher	0	1
EPICKERING	Female	Elizabeth	Pickering	1714	1769			Clergy (lower)			0	2
EPIERCE	Female	Elizabeth	Pierce (later Mrs Taylor)	1733	1776	Other	Gentry (lower)	Gentry (lower)			30	4
EPLUMPTON	Male	Edward	Plumpton		1501	London	Gentry (lower)	Gentry (lower)		Higher	47	0
EPOLE	Female	Elizabeth	Pole née Moton	1435		Other	Gentry (lower)	Gentry (upper)			4	0
EPOYNINGS	Female	ELIZABETH	POYNINGS/BROWNE	1429	1487	East Anglia	Gentry (upper)	Gentry (lower)			2	0
EPUREFOY	Female	Elizabeth	Purefoy	1672	1765	Home counties	Gentry (lower)	Gentry (lower)			47	1
ERALEGH	Female	Elizabeth	Ralegh	1565	1647		Gentry (upper)	Gentry (upper)			1	0
ERHANOVER	Male	Ernest Augustus	Hanover	1771	1851	Abroad	Royalty	Royalty		Higher	20	0
ERMOWBRAY	Female	ELEANOR	MOWBRAY		1474	East Anglia	Nobility	Nobility			1	0
EROGERS	Male	EZEKIEL	ROGERS	1588	1660	North	Clergy (lower)	Clergy (lower)	Protestant	Higher	4	0
EROTHENHALE	Female	ELIZABETH	ROTHENHALE (Rothendale?)				Gentry (upper)				1	0
ERUSSEL	Female	Elizabeth	Russell née Hoby née Cooke	1528	1609		Nobility	Gentry (upper)		Higher	1	2
ESAYERS	Male	Edmund	Sayers		1626	Abroad	Merchant				5	5
ESBURNEY	Female	Esther (Hetty)	Burney née Burney	1749	1832	London	Professional	Professional			0	15
ESCLATER	Female	Elizabeth	Sclater	1744	1814	London	Gentry (lower)	Gentry (lower)			0	3
ESEYMOUR	Male	Edward	Seymour	1500	1552	Court	Nobility	Gentry (upper)		Higher	0	17
ESHEFFIELD	Male	Edmund	Sheffield	1565	1646	North	Nobility	Nobility		Higher	0	1
ESMYTH	Female	Elizabeth	Smyth née Gorges	1590	1658	Other	Gentry (upper)	Gentry (upper)			8	0
ESMYTHIES	Female	Elizabeth	Twining née Smythies	1739	1796	Home counties	Clergy (lower)	Professional		Private	3	0
ESMYTTYNG	Male	EDWARD	SMYTTYNG			London	Merchant				6	0
ESOMERSET	Male	Edward	Somerset		1667	Court	Nobility	Nobility	Catholic	Higher	0	1
ESPENSE	Female	E.	Spense			London	Gentry (lower)				7	0
ESTANHAWE	Male	EDWARD	STANHOWE			East Anglia	Other				4	0
ESTANHOPE	Female	ELIZABETH	STANHOPE N. BUTLER	1640	1665	Other	Nobility	Nobility			5	0
ESTANLEY	Male	EDWARD	STANLEY	1508	1572	Court	Nobility	Nobility			40	6
ESTMICHEL	Female	Esther	St. Michel				Professional				6	2
ESTUART	Male	Esmé	Stuart	1579			Nobility	Nobility			0	1
ESWAN	Male	EDWARD	SWAN			Other	Professional	Gentry (upper)			8	0
ETANFIELD	Female	Elizabeth	Tanfield		1629	Other	Gentry (upper)	Gentry (lower)			1	0
ETEMPLE	Female	Elizabeth	Temple		1772	Home counties	Gentry (lower)	Gentry (lower)			0	1
ETHEOBALD	Female	Elizabeth	Theobald			Home counties	Gentry (lower)				4	0
ETHOMPSON	Male	Edward	Thompson	1640	1701	North	Merchant				0	1
ETHURLOW	Male	Edward	Thurlow	1731	1806	London	Nobility	Clergy (lower)		Higher	0	1
EUPASTON	Male	Edmund	Paston	1585	1632	East Anglia	Gentry (upper)	Gentry (lower)			0	2
EVESEY	Female	Elizabeth Handcock	Vesey née Vesey	1715	1791	London	Gentry (lower)	Clergy (upper)		Private	0	1
EVILLIERS	Female	Elizabeth	Hamilton née Villiers	1657	1733	Home counties	Nobility	Gentry (upper)			4	0
EWARREN	Female	Elizabeth	Warren			London	Gentry (upper)	Gentry (upper)			1	0
EWBACON	Male	EDWARD	BACON	1548	1618	East Anglia	Gentry (upper)	Gentry (upper)		Higher	33	2
EWEATHERLEY	Male	Edward	Weatherley			North	Other				3	0
EWHETHILL	Female	ELIZABETH	WHETHILL		1543	Other	Gentry (upper)				1	0
EWHITE	Male	Edmund	White		1538	East Anglia	Gentry (lower)				0	1
EWICKHAM	Female	Elizabeth	Wickham			Other					0	1
EWILLOUGHBY	Male	EDWARD	WILLOUGHBY		1540	Other	Gentry (upper)	Gentry (upper)			10	8
EWILMOT	Female	ELIZABETH	WILMOT NÉE MALLET			Other	Nobility	Gentry (lower)			3	26
EWOLLSTONERACFT	Female	Everina	Wollstonecraft	1765	1841	London	Professional	Gentry (lower)			0	13
EWOODVILLE	Female	ELIZABETH	YORK N. WOODVILLE	1437	1492	Court	Royalty	Gentry (upper)			1	0
EWORTLEY	Male	Edward Wortley	Montagu	1678	1761	London	Gentry (lower)	Gentry (lower)		Higher	15	65
EYOUNG	Male	Edward	Young	1683	1765	Home counties	Clergy (lower)	Clergy (lower)		Higher	70	3
EZOUCHE	Female	Elizabeth	Zouche née Despenser		1408	Other	Nobility	Nobility			5	0
F1APSLEY	Female	Frances	Apsley née Petre		1698		Gentry (upper)	Gentry (upper)			0	7
F2APSLEY	Female	Frances	Bathurst née Apsley	1653	1727	Other	Nobility	Gentry (upper)			0	67
FBACON	Male	Francis	Bacon	1561	1626	London	Gentry (upper)	Gentry (upper)		Higher	0	7
FBASIRE	Female	Frances	Basire née Corbett	1612	1676	North	Clergy (upper)	Gentry (lower)			7	0
FBLECHYNDEN	Male	FRANCIS	BLECHYNDEN			Other	Gentry (lower)	Gentry (lower)		Higher	8	0
FBLOMEFIELD	Male	Francis	Blomefield	1705	1752	East Anglia	Clergy (lower)	Gentry (lower)		Higher	34	6
FBURNEY	Female	Frances (Fanny)	Burney	1752	1840	London	Professional	Professional		Private	65	23
FCLIFFORD	Male	FRANCIS	CLIFFORD	1559	1641	North	Nobility	Nobility			3	8
FCLIFTON	Female	FRANCIS	CLIFTON N. FINCH			Other	Gentry (upper)	Gentry (lower)			3	0
FCONWAY	Female	FRANCES	CONWAY			Other	Nobility				1	0
FCORNWALLIS	Male	Frederick	Cornwallis	1610	1662	East Anglia	Nobility	Gentry (upper)			16	0
FCOTTON	Male	FRANCIS	COTTON				Professional				1	0
FCREWE	Female	Frances	Crewe			Other					0	5
FDEVEREUX	Female	Frances	Devereux née Walsingham	1567	1632	Court	Nobility	Gentry (upper)			1	0
FEMALEPATIENT	Female		Unknown female patient				Gentry (lower)				0	1
FENIMORE	Female		Fenimore			Other	Other				0	1
FERSKINE	Female	Frances	Erskine née Pierrepont	1690	1761	London	Nobility	Nobility			0	21
FFINCH	Female	FRANCES	FINCH N. BELL		1627	London	Gentry (upper)	Gentry (upper)			4	0
FGAWDY	Male	Framlingham	Gawdy	1589	1655	East Anglia	Gentry (lower)	Gentry (upper)		Higher	2	33
FGERARD	Female	FRANCES	GERARD N. COSIN		1669	North	Gentry (lower)	Clergy (upper)			4	0
FGIFFORD	Female	FRANCES	GIFFORD			Other	Gentry (lower)	Gentry (lower)			1	0
FHADDOCK	Female	Frances	Haddock		1735	Home counties	Professional				0	2
FHALL	Male	FRANCIS	HALL	1504		Other	Gentry (lower)	Merchant			1	0
FHANOVER	Male	Frederick Augustus	Hanover	1763	1827	Abroad	Royalty	Royalty			38	9
FHARRIS	Male	FRANCIS	HARRIS			Other	Gentry (upper)	Gentry (lower)			9	0
FHASTINGS	Male	FRANCIS	HASTINGS	1546	1610	Other	Gentry (upper)	Nobility	Protestant	Higher	40	0
FHASTINGS2	Male	Francis Rawdon	Hastings	1754	1826		Nobility	Nobility		Higher	0	2
FHATTON	Female	Frances	Hatton née Yelverton		1684	Other	Nobility	Gentry (upper)			1	9
FJOHNSON	Male	FRANCIS	JOHNSON			East Anglia	Other				4	0
FLOVELL	Male	Francis	Lovell	1457	1488	Other	Nobility	Nobility			1	0
FNORRIS	Male	Francis	Norris	1579	1622		Nobility	Gentry (upper)			0	8
FNORTH	Male	Frederick	North	1732	1792	London	Nobility	Nobility		Higher	0	12
FPIERSON	Male	Francis	Pierson			Other	Other				0	1
FRUSSELL	Male	Francis	Russell	1527	1585	Court	Nobility	Nobility		Higher	1	0
FRUSSELL2	Male	Francis	Russell			Home counties	Clergy (lower)				2	0
FSCONWAY	Male	Francis Seymour	Conway	1718	1794		Nobility	Nobility		Secondary	0	1
FSMYTH	Female	Florence	Smyth	1612	1676	Other	Gentry (lower)	Nobility			2	0
FSTJOHN	Male	Frances	St. John née Winchcombe			Home counties	Nobility	Gentry (upper)			1	0
FTON	Male	Francis	-ton				Other				0	1
FVERE	Male	Francis	Vere	1560	1609		Gentry (upper)				0	1
FWALSINGHAM	Male	Francis	Walsingham	1532	1590	Court	Gentry (upper)	Gentry (lower)	Protestant	Higher	35	47
FWINDEBANK	Male	Francis	Windebank	1582	1646		Gentry (upper)	Gentry (upper)		Higher	0	6
FWORSLEY	Female	Frances	Worsley née Thynne	1673	1750	London	Nobility	Nobility			1	0
FWYNDHAM	Male	FRANCIS	WYNDHAM		1592	East Anglia	Gentry (lower)	Gentry (upper)		Higher	22	0
G1TALBOT	Male	George	Talbot		1767	Home counties	Clergy (lower)				15	0
G1VILLIERS	Male	George	Villiers	1592	1628	Court	Nobility	Gentry (upper)			3	7
G2SPENCER	Female	Georgiana	Spencer née Poyntz	1737	1814	Other	Nobility	Gentry (upper)		Private	0	15
G2TALBOT	Male	George (Jr.)	Talbot	1729		Home counties	Clergy (lower)	Clergy (lower)			3	0
GASTON	Female	Gertrude	Aston					Gentry (lower)			0	4
GBALL	Male	George	Ball		1625	Abroad	Merchant				0	2
GBEATON	Male	Godfrey	Beaton			Other	Clergy (lower)				2	0
GBERIDGE	Female	Goodwith	Beridge (née Brook?)					Gentry (upper)			0	1
GBIRKHEAD	Male	George	Birkhead				Clergy (upper)				0	8
GBLOOD	Male	George	Blood	1760	1840	Abroad	Other			Apprenticed	0	8
GBMONTAGU	Male	George Brudenell	Montagu	1712	1790		Nobility	Nobility		Higher	0	1
GBROOKE	Male	George	Brooke	1497	1558	Home counties	Nobility	Nobility			1	2
GBYNG	Male	George	Byng	1740	1812		Nobility	Nobility		Higher	0	1
GCALVERT	Male	GEORGE	CALVERT	1580	1632	Other	Nobility	Gentry (lower)	Catholic	Higher	1	5
GCANNING	Male	George	Canning	1770	1827	London	Gentry (lower)	Gentry (lower)		Higher	8	1
GCAREW	Male	George	Carew	1555	1629		Nobility	Clergy (upper)		Higher	0	1
GCAREY	Male	George	Carey	1547	1603	Court	Nobility	Nobility		Higher	0	1
GCARLETON	Male	Guy	Carleton	1605	1685		Clergy (upper)			Higher	0	1
GCAVENDISH	Female	Georgiana	Cavendish née Spencer	1757	1806	London	Nobility	Nobility		Private	16	12
GCELY	Male	GEORGE	CELY		1485	London	Merchant	Merchant		Apprenticed	12	132
GCHAWORTH	Male	GEORGE	CHAWORTH				Gentry (lower)				1	0
GCHOLMONDELEY	Male	George James	Cholmondeley	1749	1827		Nobility	Nobility			0	1
GCLAVERING	Male	George	Clavering	1719	1794	North	Gentry (lower)	Gentry (upper)		Higher	0	3
GCLIFFORD	Male	George	Clifford	1558	1605	North	Nobility	Nobility			0	1
GCOLMAN	Male	George (the elder)	Colman	1732	1794	London	Professional	Professional		Higher	0	10
GCOOKE	Male	George	Cooke			Home counties					0	4
GCULLEY	Male	George	Culley	1735	1813	North	Other	Other			19	0
GDARCY	Female	GRACE	DARCY			Other	Gentry (upper)				1	0
GDODINGTON	Male	George Bubb	Dodington	1691	1762		Nobility	Gentry (lower)		Higher	0	4
GDOWNING	Male	George	Downing	1623	1684		Gentry (upper)	Professional		Higher	0	2
GEMERSON	Male	George	Emerson			London	Professional			Higher	6	0
GEORGE3	Male	George William Frederick	Hanover	1738	1820	Court	Royalty	Royalty		Private	87	107
GEORGE4	Male	George	Hanover	1762	1830	Court	Royalty	Royalty		Private	37	163
GETALBOT	Male	George	Talbot	1468	1538		Nobility	Nobility			0	1
GFITZGERALD	Male	Gerald	Fitzgerald (FitzMaurice?)	1456	1513	Abroad	Nobility	Nobility			0	1
GFLEMING	Male	George	Fleming	1667	1747	North	Clergy (upper)	Gentry (upper)		Higher	40	32
GFLETCHER	Male	George	Fletcher	1633	1700	North	Gentry (upper)	Gentry (upper)		Higher	0	4
GFROST	Male	Gualter	Frost	1598	1652					Higher	0	1
GFULLWOOD	Male	Gervase	Fullwood			Other	Professional				8	1
GGARDINER	Male	GEORGE	GARDINER	1535	1589	East Anglia	Clergy (upper)	Gentry (lower)	Anglican	Higher	9	9
GGARRICK	Male	George	Garrick	1723	1779	London	Other	Professional		Secondary	0	18
GGASCOIGNE	Male	GEORGE	GASCOIGNE	1525	1577	London	Gentry (lower)	Gentry (upper)		Higher	1	0
GGERARD	Male	GILBERT	GERARD			Home counties	Gentry (upper)		Protestant		23	0
GGODBEHERE	Male	GILBERT	GODBEHERE			Other	Other				1	0
GGRANVILLE	Female	Grace	Granville	1665	1744	Other	Nobility	Nobility			1	0
GGRAUNT	Male	GEORGE	GRAUNT			London	Other				1	0
GGREENE	Male	Godfrey	Greene			North	Gentry (lower)				14	0
GHARVEY	Male	GABRIEL	HARVEY	1545	1630	Other	Professional	Other		Higher	4	0
GHICKES	Male	George	Hickes	1642	1715	London	Clergy (upper)	Other		Higher	0	4
GHOLLES	Male	George	Holles	1577	1626		Gentry (upper)	Gentry (lower)			0	8
GHORSLEY	Male	George	Horsley				Gentry (lower)				0	1
GHOTHAM	Male	George	Hotham	1741	1806		Gentry (upper)				0	1
GITALBOT	Male	Gilbert	Talbot	1452	1518	Other	Gentry (upper)	Nobility			0	7
GJEFFREYS	Male	George	Jeffreys	1644	1689	London	Nobility	Gentry (lower)		Higher	0	1
GKEATE	Male	George	Keate	1729	1797	London	Professional			Higher	0	6
GLANE	Male	George	Lane			Other	Merchant				0	1
GLGOWER	Male	Granville Leveson	Gower	1773	1846		Nobility	Nobility		Higher	11	15
GLGOWERSR	Male	Granville Leveson Sr	Gower	1721	1803	Other	Nobility	Nobility		Higher	0	1
GLYTTELTON	Male	George	Lyttelton	1709	1773	Other	Gentry (lower)	Gentry (upper)		Higher	5	0
GMERITON	Male	George	Meriton		1624	North	Clergy (upper)			Higher	0	1
GMEYRICK	Male	Gilly	Meyrick	1556	1601		Gentry (upper)	Clergy (upper)			0	1
GMONCK	Male	George	Monck	1608	1670	Other	Nobility	Gentry (upper)		Higher	0	1
GOLIVER	Male	George	Oliver			Home counties	Other				1	0
GOOD	Female		Good			London	Other				0	1
GOXBRYGE	Male	Goddard	Oxbryge			London	Merchant			Apprenticed	4	0
GPHIPPS	Male	George	Phipps				Other				5	0
GPOLE	Male	Germayn	Pole	1483	1552	Other	Gentry (lower)	Gentry (lower)			16	0
GPOWES	Male	GEORGE	POWES				Other				1	0
GRADCLIFFE	Male	George	Radcliffe				Gentry (upper)				0	1
GRANDSON	Male	A	Grandson?								0	1
GRAWDON	Male	George	Rawdon				Gentry (upper)				0	8
GRICHARDS	Male	GEORGE	RICHARDS			Other	Merchant				13	0
GROOKE	Male	George	Rooke	1650	1709		Gentry (upper)	Gentry (upper)			0	1
GSAVAGE	Male	George	Savage		1620	Abroad	Merchant				1	0
GSENHOUSE	Male	George	Senhouse	1739	1794	North	Gentry (lower)	Gentry (lower)		Apprenticed	3	0
GSHELDON	Male	Gilbert	Sheldon	1598	1677	London	Clergy (upper)	Other		Higher	3	3
